Academic Quarter,School,Subject,Class Level,Average Score
Autumn,Arts,Basket Weaving,101,96
Autumn,Arts,Basket Weaving,102,97
Autumn,Arts,Basket Weaving,103,93
Autumn,Arts,Basket Weaving,104,93
Winter,Arts,Basket Weaving,101,99
Winter,Arts,Basket Weaving,102,90
Winter,Arts,Basket Weaving,103,94
Winter,Arts,Basket Weaving,104,99
Spring,Arts,Basket Weaving,101,98
Spring,Arts,Basket Weaving,102,97
Spring,Arts,Basket Weaving,103,95
Spring,Arts,Basket Weaving,104,99
Summer,Arts,Basket Weaving,101,94
Summer,Arts,Basket Weaving,102,95
Summer,Arts,Basket Weaving,103,95
Summer,Arts,Basket Weaving,104,93
Autumn,Sciences,Biology,101,86
Autumn,Sciences,Biology,102,90
Autumn,Sciences,Biology,103,90
Autumn,Sciences,Biology,104,91
Winter,Sciences,Biology,101,91
Winter,Sciences,Biology,102,86
Winter,Sciences,Biology,103,92
Winter,Sciences,Biology,104,94
Spring,Sciences,Biology,101,88
Spring,Sciences,Biology,102,86
Spring,Sciences,Biology,103,89
Spring,Sciences,Biology,104,87
Summer,Sciences,Biology,101,89
Summer,Sciences,Biology,102,93
Summer,Sciences,Biology,103,94
Summer,Sciences,Biology,104,88
Autumn,Sciences,Chemistry,101,89
Autumn,Sciences,Chemistry,102,84
Autumn,Sciences,Chemistry,103,81
Autumn,Sciences,Chemistry,104,83
Winter,Sciences,Chemistry,101,81
Winter,Sciences,Chemistry,102,84
Winter,Sciences,Chemistry,103,84
Winter,Sciences,Chemistry,104,81
Spring,Sciences,Chemistry,101,88
Spring,Sciences,Chemistry,102,81
Spring,Sciences,Chemistry,103,87
Spring,Sciences,Chemistry,104,81
Summer,Sciences,Chemistry,101,86
Summer,Sciences,Chemistry,102,82
Summer,Sciences,Chemistry,103,85
Summer,Sciences,Chemistry,104,84
Autumn,Sciences,Computer Science,101,87
Autumn,Sciences,Computer Science,102,84
Autumn,Sciences,Computer Science,103,85
Autumn,Sciences,Computer Science,104,87
Winter,Sciences,Computer Science,101,89
Winter,Sciences,Computer Science,102,87
Winter,Sciences,Computer Science,103,86
Winter,Sciences,Computer Science,104,90
Spring,Sciences,Computer Science,101,90
Spring,Sciences,Computer Science,102,81
Spring,Sciences,Computer Science,103,88
Spring,Sciences,Computer Science,104,85
Summer,Sciences,Computer Science,101,80
Summer,Sciences,Computer Science,102,90
Summer,Sciences,Computer Science,103,82
Summer,Sciences,Computer Science,104,87
Autumn,Arts,Economics,101,90
Autumn,Arts,Economics,102,94
Autumn,Arts,Economics,103,90
Autumn,Arts,Economics,104,88
Winter,Arts,Economics,101,89
Winter,Arts,Economics,102,90
Winter,Arts,Economics,103,91
Winter,Arts,Economics,104,92
Spring,Arts,Economics,101,94
Spring,Arts,Economics,102,90
Spring,Arts,Economics,103,93
Spring,Arts,Economics,104,85
Summer,Arts,Economics,101,93
Summer,Arts,Economics,102,91
Summer,Arts,Economics,103,88
Summer,Arts,Economics,104,87
Autumn,Sciences,Engineering,101,87
Autumn,Sciences,Engineering,102,90
Autumn,Sciences,Engineering,103,85
Autumn,Sciences,Engineering,104,89
Winter,Sciences,Engineering,101,84
Winter,Sciences,Engineering,102,88
Winter,Sciences,Engineering,103,83
Winter,Sciences,Engineering,104,84
Spring,Sciences,Engineering,101,86
Spring,Sciences,Engineering,102,81
Spring,Sciences,Engineering,103,89
Spring,Sciences,Engineering,104,82
Summer,Sciences,Engineering,101,86
Summer,Sciences,Engineering,102,86
Summer,Sciences,Engineering,103,87
Summer,Sciences,Engineering,104,81
Autumn,Sciences,Forestry,101,87
Autumn,Sciences,Forestry,102,90
Autumn,Sciences,Forestry,103,92
Autumn,Sciences,Forestry,104,90
Winter,Sciences,Forestry,101,93
Winter,Sciences,Forestry,102,95
Winter,Sciences,Forestry,103,90
Winter,Sciences,Forestry,104,87
Spring,Sciences,Forestry,101,91
Spring,Sciences,Forestry,102,86
Spring,Sciences,Forestry,103,87
Spring,Sciences,Forestry,104,92
Summer,Sciences,Forestry,101,86
Summer,Sciences,Forestry,102,94
Summer,Sciences,Forestry,103,88
Summer,Sciences,Forestry,104,89
Autumn,Arts,Geography,101,88
Autumn,Arts,Geography,102,94
Autumn,Arts,Geography,103,90
Autumn,Arts,Geography,104,85
Winter,Arts,Geography,101,93
Winter,Arts,Geography,102,90
Winter,Arts,Geography,103,88
Winter,Arts,Geography,104,89
Spring,Arts,Geography,101,90
Spring,Arts,Geography,102,86
Spring,Arts,Geography,103,93
Spring,Arts,Geography,104,93
Summer,Arts,Geography,101,91
Summer,Arts,Geography,102,94
Summer,Arts,Geography,103,88
Summer,Arts,Geography,104,93
Autumn,Sciences,Health Science,101,83
Autumn,Sciences,Health Science,102,89
Autumn,Sciences,Health Science,103,82
Autumn,Sciences,Health Science,104,90
Winter,Sciences,Health Science,101,82
Winter,Sciences,Health Science,102,86
Winter,Sciences,Health Science,103,89
Winter,Sciences,Health Science,104,80
Spring,Sciences,Health Science,101,83
Spring,Sciences,Health Science,102,90
Spring,Sciences,Health Science,103,81
Spring,Sciences,Health Science,104,81
Summer,Sciences,Health Science,101,81
Summer,Sciences,Health Science,102,84
Summer,Sciences,Health Science,103,88
Summer,Sciences,Health Science,104,89
Autumn,Arts,Library Science,101,89
Autumn,Arts,Library Science,102,87
Autumn,Arts,Library Science,103,88
Autumn,Arts,Library Science,104,93
Winter,Arts,Library Science,101,91
Winter,Arts,Library Science,102,94
Winter,Arts,Library Science,103,89
Winter,Arts,Library Science,104,89
Spring,Arts,Library Science,101,93
Spring,Arts,Library Science,102,88
Spring,Arts,Library Science,103,94
Spring,Arts,Library Science,104,88
Summer,Arts,Library Science,101,89
Summer,Arts,Library Science,102,87
Summer,Arts,Library Science,103,90
Summer,Arts,Library Science,104,91
Autumn,Sciences,Mathematics,101,84
Autumn,Sciences,Mathematics,102,86
Autumn,Sciences,Mathematics,103,85
Autumn,Sciences,Mathematics,104,82
Winter,Sciences,Mathematics,101,84
Winter,Sciences,Mathematics,102,86
Winter,Sciences,Mathematics,103,82
Winter,Sciences,Mathematics,104,89
Spring,Sciences,Mathematics,101,85
